,Date,Home Team,Away Team,Home Score,Away Score,Total Score Open,Name,Location,Surface,Roof type
72,2015-12-27,Detroit Lions,San Francisco 49ers,32,17,43.0,Ford Field,"Detroit, Michigan",FieldTurf Classic HD[9],Fixed
73,2015-12-20,San Francisco 49ers,Cincinnati Bengals,14,24,42.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
74,2015-12-13,Cleveland Browns,San Francisco 49ers,24,10,40.5,FirstEnergy Stadium,"Cleveland, Ohio",Kentucky bluegrass,Open
75,2015-12-06,Chicago Bears,San Francisco 49ers,20,26,41.5,Soldier Field,"Chicago, Illinois",Kentucky bluegrass,Open
76,2015-11-29,San Francisco 49ers,Arizona Cardinals,13,19,44.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
77,2015-11-22,Seattle Seahawks,San Francisco 49ers,29,13,40.5,CenturyLink Field,"Seattle, Washington",FieldTurf Revolution 360[9],Open
78,2015-11-08,San Francisco 49ers,Atlanta Falcons,17,16,45.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
79,2015-11-01,St. Louis Rams,San Francisco 49ers,27,6,39.5,,,,
80,2015-10-22,San Francisco 49ers,Seattle Seahawks,3,20,41.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
81,2015-10-18,San Francisco 49ers,Baltimore Ravens,25,20,44.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
82,2015-10-11,New York Giants,San Francisco 49ers,30,27,43.0,MetLife Stadium,"East Rutherford, New Jersey",UBU Sports Speed Series S5-M Synthetic Turf[30],Open
83,2015-10-04,San Francisco 49ers,Green Bay Packers,3,17,47.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
84,2015-09-27,Arizona Cardinals,San Francisco 49ers,47,7,44.0,State Farm Stadium,"Glendale, Arizona",Bermuda grass,Retractable
85,2015-09-20,Pittsburgh Steelers,San Francisco 49ers,43,18,44.0,Heinz Field,"Pittsburgh, Pennsylvania",Kentucky bluegrass,Open
86,2015-09-14,San Francisco 49ers,Minnesota Vikings,20,3,41.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
